# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sub.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             128   N   000003aa   25d19363   000003ac   x28_t3     0000000e
             129   N   000003ac   fff00093   000003b0   ---        --------
             130   N   000003b0   fff00113   000003b4   x01_ra     ffffffff
             131   N   000003b4   402081b3   000003b8   x02_sp     ffffffff
             132   N   000003b8   00004e81   000003bc   x03_gp     00000000
             133   N   000003bc   00004e3d   000003be   x29_t4     00000000
             134   N   000003be   23d19963   000003c0   x28_t3     0000000f
             135   N   000003c0   000040b5   000003c4   ---        --------
             136   N   000003c4   0000412d   000003c6   x01_ra     0000000d
             137   N   000003c6   402080b3   000003c8   x02_sp     0000000b
             138   N   000003c8   00004e89   000003cc   x01_ra     00000002
             139   N   000003cc   00004e41   000003ce   x29_t4     00000002
             140   N   000003ce   23d09163   000003d0   x28_t3     00000010
             141   N   000003d0   000040b9   000003d4   ---        --------
             142   N   000003d4   0000412d   000003d6   x01_ra     0000000e
             143   N   000003d6   40208133   000003d8   x02_sp     0000000b
             144   N   000003d8   00004e8d   000003dc   x02_sp     00000003
             145   N   000003dc   00004e45   000003de   x29_t4     00000003
             146   N   000003de   21d11963   000003e0   x28_t3     00000011
             147   N   000003e0   000040b5   000003e4   ---        --------
             148   N   000003e4   401080b3   000003e6   x01_ra     0000000d
             149   N   000003e6   00004e81   000003ea   x01_ra     00000000
             150   N   000003ea   00004e49   000003ec   x29_t4     00000000
             151   N   000003ec   21d09263   000003ee   x28_t3     00000012
             152   N   000003ee   00004201   000003f2   ---        --------
             153   N   000003f2   000040b5   000003f4   x04_tp     00000000
             154   N   000003f4   0000412d   000003f6   x01_ra     0000000d
             155   N   000003f6   402081b3   000003f8   x02_sp     0000000b
             156   N   000003f8   0000830e   000003fc   x03_gp     00000002
             157   N   000003fc   00000205   000003fe   x06_t1     00000002
             158   N   000003fe   00004289   00000400   x04_tp     00000001
             159   N   00000400   fe5219e3   00000402   x05_t0     00000002
             160   N   00000402   00004e89   000003f4   ---        --------
             163   N   000003f4   0000412d   000003f6   x01_ra     0000000d
             164   N   000003f6   402081b3   000003f8   x02_sp     0000000b
             165   N   000003f8   0000830e   000003fc   x03_gp     00000002
             166   N   000003fc   00000205   000003fe   x06_t1     00000002
             167   N   000003fe   00004289   00000400   x04_tp     00000002
             168   N   00000400   fe5219e3   00000402   x05_t0     00000002
             169   N   00000402   00004e89   00000406   ---        --------
             170   N   00000406   00004e4d   00000408   x29_t4     00000002
             171   N   00000408   1fd31463   0000040a   x28_t3     00000013
             172   N   0000040a   00004201   0000040e   ---        --------
             173   N   0000040e   000040b9   00000410   x04_tp     00000000
             174   N   00000410   0000412d   00000412   x01_ra     0000000e
             175   N   00000412   402081b3   00000414   x02_sp     0000000b
             176   N   00000414   00000001   00000418   x03_gp     00000003
